epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2415.02,1.40493,1.46546,1.60782,0.56256,0.63586,0.64256,0.33414,1.61289,1.54118,1.7746,0.00091882,0.00091882,0.00091882
43,2469.02,1.45786,1.48644,1.62528,0.48245,0.50597,0.50851,0.25154,1.80353,1.85844,1.96701,0.00091684,0.00091684,0.00091684
44,2522.42,1.40418,1.47622,1.59976,0.62238,0.63185,0.65262,0.34225,1.66817,1.47988,1.80247,0.00091486,0.00091486,0.00091486
45,2581.33,1.42287,1.45023,1.60001,0.55479,0.5007,0.58579,0.30378,1.70749,1.66601,1.86331,0.00091288,0.00091288,0.00091288
46,2634.88,1.42577,1.49699,1.62154,0.49367,0.61644,0.6107,0.30775,1.71081,1.52827,1.83438,0.0009109,0.0009109,0.0009109
47,2688.14,1.43484,1.55082,1.61693,0.47603,0.61051,0.6038,0.30939,1.69252,1.57491,1.85542,0.00090892,0.00090892,0.00090892
48,2740.9,1.40372,1.46237,1.59833,0.54734,0.59131,0.62284,0.32609,1.61313,1.52152,1.77653,0.00090694,0.00090694,0.00090694
49,2798.13,1.41833,1.44395,1.60361,0.58214,0.61922,0.65734,0.34206,1.63612,1.43901,1.79192,0.00090496,0.00090496,0.00090496
50,2856.25,1.39941,1.44036,1.60674,0.6241,0.59666,0.65691,0.33588,1.65095,1.55911,1.82675,0.00090298,0.00090298,0.00090298
51,2911.11,1.39234,1.40164,1.59751,0.62886,0.64445,0.67282,0.34235,1.65247,1.45158,1.81012,0.000901,0.000901,0.000901
52,2968.36,1.42052,1.46046,1.5963,0.55701,0.63262,0.64717,0.32069,1.63985,1.5981,1.8119,0.00089902,0.00089902,0.00089902
53,3026.4,1.41519,1.46149,1.60685,0.66686,0.59233,0.66815,0.35088,1.58193,1.4935,1.76963,0.00089704,0.00089704,0.00089704
54,3089.14,1.38262,1.39841,1.57528,0.63318,0.59691,0.65795,0.35095,1.63219,1.44428,1.81067,0.00089506,0.00089506,0.00089506
55,3148.75,1.37863,1.41275,1.57342,0.57817,0.64793,0.66009,0.34461,1.61557,1.4485,1.79744,0.00089308,0.00089308,0.00089308
56,3206.38,1.3718,1.41467,1.58161,0.60507,0.67345,0.68933,0.37348,1.54689,1.37315,1.75412,0.0008911,0.0008911,0.0008911
57,3264.97,1.37181,1.35922,1.57395,0.56209,0.6355,0.64743,0.34054,1.63844,1.4661,1.78993,0.00088912,0.00088912,0.00088912
58,3319.23,1.38331,1.40007,1.57504,0.678,0.5472,0.64401,0.34246,1.60598,1.48035,1.77811,0.00088714,0.00088714,0.00088714
59,3373.73,1.40086,1.41133,1.58446,0.57956,0.64423,0.68127,0.35851,1.61912,1.39188,1.76517,0.00088516,0.00088516,0.00088516
60,3432.3,1.37794,1.37619,1.57415,0.60818,0.58703,0.65216,0.35553,1.56318,1.4721,1.77979,0.00088318,0.00088318,0.00088318
61,3485.6,1.36628,1.37147,1.57212,0.59171,0.62846,0.65097,0.33201,1.67143,1.43985,1.84159,0.0008812,0.0008812,0.0008812
